Job ID,Company ID,Company Name,Company Logo,Company Address,Company Phone,Company Email,Company URL,Job Title,Job Body,Job Reference,Wage,Job Types,Locations,Published At,Updated At,Slug
497440,749,WIT - Software,https://static.itjobs.pt/images/companies/b0/56e/749/logo.png,"Centro de Empresas de Taveiro, Estrada de Condeixa
3045-508 Taveiro",239801030,jobs@wit-software.com,http://www.wit-software.com,Backend Software Engineer,"<p>WIT Software creates products and solutions for the Telecom industry and has a very strong background on Messaging, IP Voice and Video, Unified Communications, Telecom VAS services, IPTV and Mobile Money. The company has 23 years of existence and works with some of the relevant Telecom companies in the global market, from Europe, Japan, US and Africa.</p><p>WIT is developing an innovative software product that leverages emerging concepts from the latest generation of IMS and mobile telecommunications networks. This product has the potential for commercial distribution to hundreds of mobile operators and service providers, reaching millions of users across various geographies worldwide.</p><p><strong>We are seeking experienced and talented Backend Software Engineers to join our Product Team. This is an excellent opportunity for those who are passionate about developing successful software for the global market.</strong></p><p><strong>Key Responsibilities</strong></p><p>∙ Writing clean, scalable and efficient code<br />∙ Integrating user-facing elements developed by front-end developers with server-side logic<br />∙ Building reusable code libraries for future use<br />∙ Creating high-performance and scalable servers either using Go, or Java, Node.js, Kotlin, others<br />∙ Designing and implementing RESTful APIs<br />∙ Ability to develop scalable server code using gRPC, and similar technologies<br />∙ Optimizing the performance of applications for full-scale production deployments<br />∙ Providing code documentation and contributing to technical documents<br />∙ Routinely inspecting server code for speed optimization<br />∙ Participating in code reviews<br />∙ Conceptualizing and implementing solutions for data storage<br />∙ Configure usability of all front-end applications<br />∙ Maintaining a stable server with zero downtime<br />∙ Troubleshooting and debugging to optimize performance</p><p><strong>Requirements</strong></p><p>∙ Degree in Computer Science, Engineering, or a related field.<br />∙ Prior experience as a back-end engineer.<br />∙ Experienced with software engineering best practices such as design patterns, code reviews, unit and integration testing, etc.<br />∙ In-depth understanding of computer science fundamentals, Internet technologies and protocols.<br />∙ Ability to meet tight deadlines<br />∙ Capable of prioritizing multiple tasks to meet goals without management oversight<br />∙ Fluent in English with strong communication skills<br />∙ Ability to communicate complex topics in a clear and structured way<br />∙ Capable of exploring and quickly use new frameworks and tools<br />∙ Proactive, able to take initiative and operate independently<br />∙ Strong problem-solving skills and attention to detail.</p><p><strong>Additional Information</strong></p><p>∙ Position Type: Full-time<br />∙ We offer a competitive compensation package as well as an environment conducive to personal and professional growth</p><p><strong>Apply at: </strong><a href=""https://www.wit-software.com/jobs/backend-software-engineer/"">https://wit-software.zohorecruit.eu/jobs/Careers/22193000002404136/Backend-Software-Engineer?source=CareerSite</a> </p>",,,,"Castelo Branco, Coimbra, Leiria, Lisboa, Porto",2025-03-07 13:30:39,2025-03-07 13:30:39,backend-software-engineer
497101,6466,Neotalent Conclusion,https://static.itjobs.pt/images/companies/21/9c5/6466/logo.png,"Av. D. João II, nº34, Parque das Nações
1998-031 Lisboa",,talentos@neotalent.pt,https://www.neotalent.pt/pt/,Application Support,"<p><strong>Who are we:</strong><br />Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. <br />We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers.<br />With over 25 years of solid experience, Neotalent Conclusion has established its presence in key locations, including Lisbon, Porto, and Madrid. The company currently has more than 950 professionals in the different areas in which it operates.<br />Neotalent, the responsive people.</p><p><em>Find out more about us at <a href=""http://www.neotalent.pt"">www.neotalent.pt. </a></em></p><p><strong>Role Overview:</strong></p><p>We are looking for an <u><strong>Application Support</strong></u> to join one of our biggest clients in the Porto or Lisbon area - in the corporate banking sector.</p><p><strong>What you are like</strong></p><ul><li>Experience in Linux/Unix environments;</li><li>Experience with SQL Databases (Oracle, SQL Server, Sybase);</li><li>Rigorous person with strong analytical problem solving skills;</li><li>Attention to detail;</li><li>Autonomous and with a dynamic attitude;</li><li>Comfortable with English (conversational level).</li></ul><p><strong>Why join us</strong></p><ul><li>Work on challenging projects for big clients</li><li>Learn more about emerging technologies</li><li>Possibility of working remotely</li><li>Design your career plan</li><li>Access to continuous training and certifications</li><li>Evolve through our internal mobility program</li><li> … and much more!</li></ul><p><strong>To apply:</strong></p><p>Please send your CV to <a href=""mailto:talent.pt@neotalentconclusion.com"">talent.pt@neotalentconclusion.com</a> with<strong> MVT_BAS</strong> in the email subject.</p>",MVT_BAS,,Full-time,"Lisboa, Porto",2025-03-07 13:30:30,2025-03-07 13:30:30,application-support
497027,984,KCS IT,https://static.itjobs.pt/images/companies/d9/3ed/984/logo.png,"Rua Sousa Martins, nº10 
1050-218 Lisboa - Portugal",+351 213 174 164,,http://www.kcsit.pt,Frontend Developer - React,"<p><strong>We’re looking for the special, unique and amazing YOU!</strong></p><p>@ KCS IT, we look for the ones that stands out, for those that always wants to be better and fight for it,  and for those who has the same values that we do: dedication, energy, integrity, transparency, flexibility, trust, honesty, hard work, proactivity, team work.</p><p>At KCS we stand for equality and value diversity. We create a safe, diverse environment where opportunities are equal for everyone! We do not discriminate based on age, ethnicity, sexual orientation, gender, disability or any factor other than merit. All applications with skills for the position are welcome!</p><p><strong>We are looking for an Amazing:</strong> Frontend Developer - React</p><p><strong>Seniority: </strong>Mid (3-5 years)</p><p><strong>Type of position:</strong> Hybrid model in Oporto. Candidates need to be already living in Portugal!</p><p><strong>The amazing you, will have:</strong></p><ul><li>Experience in HTML, CSS, JavaScript and TypeScript </li><li>Experience in the following frameworks: React, Redux and Next.js </li><li>Experience with user interface development and browser-based debugging </li><li>Experience working in an Agile workflow </li><li>Good communication skills </li><li>Fluent in written and spoken English</li></ul><p><strong>To turn yourself from amazing to unique, you´ll have (plus):</strong></p><ul><li>Experience developing and implementing Microfrontends </li><li>Previous experience working with cloud computing technology (e.g., AWS, Azure or GGP) </li><li>Experience with Cypress</li></ul><strong>Why should you become part of our family?</strong><ul><li><u>You can develop a career that fits you</u>: your career development is personalized, taking in consideration your needs and goals from a short to long term</li><li><u>Interesting Challenges Ahead</u>: you can work for several clients from different sectors of activity</li><li><u>Free training programs</u>: Our training and certification programs in languages, tech, behavior and business will help you to reach your full potential faster</li><li><u>International projects in Benelux:</u> you can gain international experience in Benelux and balance a new way of living with work</li><li><u>Type of projects </u>(depending on the project you might find one of this types of projects):<ul><li><u>In hybrid Systems:</u> Is important to balance work with socialization, that´s why a hybrid system works for us and for you</li><li><u>Full Remote projects:</u> If you want to work while you enjoy the comfort of your home</li><li><u>Full Onsite projects:</u> if you prefere the company of your colleagues!</li></ul></li><li><u>Take care of your well-being:</u> Enjoy our free nutrition, psicologist, general medicine appointments and our yoga and personal training days… all remote</li></ul><p><strong>Who are we? </strong></p><p>Founded in 2008 and based in Lisbon, KCS IT is a consulting company in the field of Information Technology and Services, focused on creating value for our clients through three main areas: Consulting, Outsourcing, Inovation and Training. Our commitment to talent development is unmistakable in the recent opening of the Porto, Leiria and Azores hubs, which aims to develop technology for the national and international market. Since 2018 we have been elected one of the 10 major companies in the “Index of Excellence”, an initiative that aims to reward organizations that invest most in the development and satisfaction of their employees.</p><p>At KCS IT we defend equality and value diversity. We create a safe, diverse environment where opportunities are equal for all employees!</p><p>We do not discriminate based on age, ethnicity, sexual orientation, gender, disability or any factor other than merit.</p><p>All applications with skills for the role are welcome!</p><br /><br /><a href=""https://jobpage.cvwarehouse.com/ApplicationForm/AppForm?job=350745&amp;companyGuid=488b6259-1e95-443a-aefc-c526c05b2d9a&amp;channel=ITJobs&amp;lang=en-US"">Apply here</a><br />",,,Full-time,Porto,2025-03-07 13:30:29,2025-03-07 13:30:29,frontend-developer-react
497428,3794,Fyld,https://static.itjobs.pt/images/companies/91/6d3/3794/logo.png,"Avenida Casal Ribeiro nº 14 , 2º Andar
1000-092 Lisboa",,hello@fyld.pt,http://www.fyld.pt,.NET Developer (fullstack),"<p><strong>Ready to Take the Field?</strong><br /><br />Fyld is a Portuguese consulting company specializing in IT services. We bring high-performance professionals into the field across a wide range of technological areas.<br />Inspired by sports management philosophy, we strive to achieve peak performance with each of our consultants. We focus on training and excellence.<br />Join us for the next game!<br /><br />We are looking for our next ..NET Developer (fullstack):</p><ul><li>Degree in Computer Engineering or a similar field;</li><li>3/4 years of professional experience in fullstack development;</li><li>Experience with .NET Core or .NET Framework (.NET 5/6 versions);</li><li>Experience with Angular and/or React, JavaScript, HTML, CSS;</li><li>Professional experience with SQL Databases and RESTful APIs;</li><li>Knowledge of Azure DevOps or other CI/CD tools;</li><li>Understanding of clean code principles, design patterns, and modern architecture;</li><li>Fluent in English.</li></ul><p>We prioritize:<br />High standards, professionalism, and dedication; everything else can be learned.<br /><br />If you're interested in joining our team, send your CV to: <a href=""mailto:join@fyld.pt"">join@fyld.pt</a></p><p>Fyld, where the top talents step into the spotlight.</p>",,,,Lisboa,2025-03-07 13:30:15,2025-03-07 13:30:15,net-developer-fullstack
497432,7690,LIDERLINK,https://static.itjobs.pt/images/companies/c6/776/7690/logo.png,"Quinta do Alto, Lote 21
8400-142 Estômbar",,geral@liderlink.pt,http://liderlink.pt,Network Engineer Sénior,"<p>A nossa missão tem como intuito libertar o potencial do Mundo Digital para que todas as organizações possam inovar e prosperar em segurança. Queremos alcançar este objetivo ao reunir os <strong>Network Engineers</strong> mais talentosos do universo e as tecnologias mais poderosas, combinando-os para enfrentar os desafios e construir algo mais forte juntos.</p><p>Se partilha da nossa visão de restaurar o equilíbrio na galáxia digital, junte-se a nós!</p><p>Neste momento, procuramos um Mestre Jedi das Redes para integrar a nossa equipa, baseada em Lagoa (Algarve)</p><p> </p><p>As suas missões incluirão:</p><ul><li><p>Gestão e apoio às redes dos nossos aliados em ambientes físicos e virtuais.</p></li><li><p>Resolução de falhas na rede sob a nossa proteção.</p></li><li><p>Controlo de firewalls FortiGate e Sophos, de equipamentos Mikrotik, e de switches Fortiswitch, Aruba, Cisco e Huawei.</p></li><li><p>Administração de routing Fortinet, Mikrotik e Huawei.</p></li><li><p>Configuração e instalação de diversos tipos de equipamentos de rede (switches, routers, pontos de acesso, firewalls, etc.).</p></li><li><p>Manutenção e configuração de VPNs IPSec e SSL.</p></li><li><p>Manutenção, configuração e instalação de infraestrutura Wi-Fi.</p></li><li><p>Proteção da infraestrutura da nossa rede, seguindo os protocolos definidos, e participação ativa na segurança da nossa base.</p></li><li><p>Realização de atualizações, instalação de patches e outros tipos de configurações de segurança nos equipamentos de rede.</p></li><li><p>Fornecimento de suporte de segunda/terceira linha e resolução de problemas, para solucionar falhas e manter um registo atualizado destas tarefas.</p></li></ul><p> </p><p>O seu Kit de Ferramentas:</p><ul><li><p>Experiência em funções similares.</p></li><li><p>Experiência em suporte avançado de firewalls, LAN, WAN, balanceadores de carga, switches, routers e soluções Wi-Fi.</p></li><li><p>Experiência prática comprovada em tarefas semelhantes às exigidas.</p></li><li><p>Excelentes habilidades de resolução de problemas com uma mentalidade de liderança técnica, e capacidade para fornecer orientação técnica a membros juniores.</p></li><li><p>Capacidade de analisar dados e isolar potenciais áreas problemáticas em vários níveis de profundidade e complexidade.</p></li><li><p>Excelentes habilidades de comunicação escrita e verbal, domínio da língua inglesa e da língua portuguesa.</p></li><li><p>Certificação CCNA ou superior, e/ou Fortinet NSE, ou superior</p></li></ul><p> </p><p>O Que Oferecemos:</p><ul><li><p>Uma estrutura salarial justa e competitiva, tendo em conta as suas capacidades;</p></li><li><p>Um plano de desenvolvimento pessoal e profissional, permitindo constante evolução;</p></li><li><p>Suporte para a obtenção de certificações relevantes para a sua área;</p></li><li><p>Um espaço de trabalho onde o espírito de equipa é valorizado</p></li></ul><p> </p><p>Envie-nos a sua candidatura para <strong><a href=""mailto:rh@liderlink.pt"">rh@liderlink.pt</a></strong></p>",,,Full-time,Faro,2025-03-07 13:30:11,2025-03-07 13:30:11,network-engineer-senior
496023,2714,Dellent,https://static.itjobs.pt/images/companies/b6/283/2714/logo.png,"AVEIRO:
Creative Science Park                
Via do Conhecimento                  
3830-352 Ílhavo

LISBOA:
Avenida António Serpa, 32, 5A
Avenidas Novas
1050-026 Lisboa
Portugal",+351 234 423 393 | +351 217 970 331,info@dellentconsulting.com,http://www.dellentconsulting.com,Cybersecurity Program Manager,"<p>A <strong>Dellent</strong> é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro dos seus interesses, motivações e expectativas.</p><p>A área das telecomunicações está em constante evolução. Se também gostarias de fazer parte deste movimento, este projeto poderá ser do teu interesse, já que aqui terás a possibilidade de contactar com um dos líderes na criação e distribuição de soluções fixas e móveis de televisão, internet, voz e dados a nível nacional.<br /><br />Procuramos um(a) <strong>Cybersecurity Program Manager</strong> para integrar a nossa equipa neste projeto (híbrido <strong>flexível</strong>) a longo prazo em <strong>Lisboa</strong> (preferencialmente) ou no <strong>Porto</strong>.</p><p><strong>Requisitos:</strong></p><ul><li>Formação Académica Superior em Eletrotécnica ou experiência equivalente, que permita convergir<br />capacidades técnicas com noções de gestão;</li><li>Experiência relevante em gestão de programas ou gestão de projetos complexos preferencialmente na área de<br />cibersegurança;</li><li>Experiência na preparação de reportes à gestão sobre riscos e atividade (steering committee);</li><li>Conhecimento em metodologias de gestão de projetos (PMBOK, SCRUM, AGILE, etc.);</li><li>Conhecimento na gestão e operação de ferramentas de gestão de projetos (e.g. JIRA);</li><li>Conhecimento em segurança da informação, normas e padrões de cibersegurança (ISO, NIST, etc.);</li><li>Capacidade de liderança e gestão de equipas;</li><li>Capacidade de gestão de conflitos e coordenação de grupos de trabalho multidisciplinares;</li><li>Capacidade de planeamento e organização;</li><li>Capacidade de identificação e gestão de riscos de cibersegurança;</li><li>Capacidade de trabalhar sob pressão e prazos apertados;</li><li>Proatividade e iniciativa;</li><li>Resiliência, adaptabilidade a mudanças e gestão de situações ambíguas;</li><li>Pensamento crítico e orientado a resultados;</li><li>Capacidade de tomar decisões e resolver problemas;</li><li>Capacidade de liderança e trabalho em equipa;</li><li>Excelente capacidade de comunicação (oral e escrita) e habilidades interpessoais;</li><li>Forte capacidade relacional e em estabelecer networking positivo;</li><li>Domínio das ferramentas MS Office (nomeadamente MS Excel, MS Powerpoint).</li></ul><p><strong>Conhecimentos valorizados:</strong></p><ul><li>Conhecimento em tecnologias de segurança;</li><li>Conhecimento em gestão de riscos e conformidade;</li><li>Conhecimento no setor das telecomunicações;</li><li>Conhecimento de regulamentação europeia relacionado com segurança ou setorial (NIS2, DORA, RGPD,<br />SIRSCE).</li></ul><p><strong>O que oferecemos:</strong></p><ul><li>Seguro de Saúde;</li><li>Plano de formação ajustado e personalizado, com um orçamento para gastares nas formações e livros técnicos que considerares necessários;</li><li>Feedback constante e acompanhamento para que possas crescer profissionalmente;</li><li>Processo de onboarding remoto;</li><li>Eventos de equipa todos os semestres para que possas viver novas aventuras;</li><li>Descontos e ofertas exclusivas nos nossos parceiros;</li><li>Cultura de proximidade e transparência. As tuas ideias e necessidades são ouvidas e valorizadas por nós!</li></ul><p> </p><p>Submete a tua candidatura online <a href=""https://dellentconsulting.com/projetos/2979357505/cybersecurity-program-manager"">aqui</a>.</p>",Ref. 2024/1214,,Full-time,"Lisboa, Porto",2025-03-07 13:29:56,2025-03-07 13:29:56,cybersecurity-program-manager
497433,6587,team.it,https://static.itjobs.pt/images/companies/2e/2c4/6587/logo.png,,,recrutamento@team-it.pt,https://www.team-it.pt,Senior Java Developer,"<p><strong><u>Queremos fazer diferente com o essencial.</u></strong></p><p>Apostamos numa estratégia de corporativismo sustentável. Acreditamos que o sucesso se baseia na construção de uma equipa centrada no bem-estar coletivo, no desenvolvimento pessoal e profissional, e assente numa filosofia de trabalho que potencie a gestão saudável das nossas vidas. <em>Work-life balance, beginner’s mind</em> e <em>community involvement</em> são a nossa identidade, os nossos fundamentos e a nossa cultura.</p><p><strong><em>O que precisas para te juntares a nós:</em></strong></p><p>- Experiência mínima de 6 anos em desenvolvimento Java;</p><p>- Bons conhecimentos de Spring;</p><p>- Nível B2 ou superior de Inglês;</p><p><em>-&gt; Notas importantes:</em></p><p>Localização – Porto</p><p><strong><em>O que temos para te oferecer:</em></strong></p><p><strong>- Gestão de Talento personalizada.</strong> Valorizamos e privilegiamos um acompanhamento próximo e regular, somos uma equipa desde o primeiro dia.</p><p><strong>- Pacote de benefícios amplo e flexível.</strong> Seguro de saúde, seguro de vida e acidentes pessoais, descontos e benefícios, plano de telecomunicações e muito mais.</p><p><strong>- Apostamos na formação e na tua carreira.</strong> Formação certificada, plataformas de formação <em>online</em>, centro de exames <em>Pearson VUE</em>... Apostamos em ti!</p><p><strong>- Sustentabilidade e envolvimento comunitário.</strong> Queremos dar significado ao nosso trabalho e investir num projeto de consultoria inclusivo. Para isso, precisamos da tua ajuda.</p><p><strong><em>team.it, back to basics! </em></strong></p><p>Juntas-te a nós?</p><p><em>Na Team IT defendemos a igualdade e valorizamos a diversidade.  </em></p><p><em>Criamos um ambiente seguro, diversificado e onde as oportunidades são iguais para todos!</em></p><p><em>Não discriminamos com base em idade, etnia, orientação sexual, género, deficiência ou qualquer fator que não seja o mérito.</em></p><p><em>Todas as candidaturas com competências para o cargo são bem-vindas!</em></p><p> </p><p><br /><a href=""https://jobpage.cvwarehouse.com/ApplicationForm/AppForm?job=338388&amp;companyGuid=ce3ae4ae-9f54-4f25-9a70-4d486d0d7a27&amp;channel=ITJobs&amp;lang=pt-PT"">Candidate-se aqui</a></p><p> </p>",,,Full-time,"Lisboa, Porto",2025-03-07 13:29:48,2025-03-07 13:29:48,senior-java-developer
497410,3999,Efacec,https://static.itjobs.pt/images/companies/9c/f74/3999/logo.png,"Rua Eng. Frederico Ulrich - Guardeiras
Apartado 3078
4471-907 Moreira da Maia",229562300,,https://www.efacec.pt,Engenheiro Arquiteto de Sistemas,"<p><strong>Como imaginas o futuro?</strong></p><p>O nosso propósito é criar um futuro mais inteligente para uma vida melhor.</p><p>Contamos contigo para te juntares a nós e ajudares a construir um mundo melhor para as gerações futuras.</p><p><br /><strong>Quem somos:</strong><br /><br />A Efacec é uma empresa com 75 anos de história a inovar pelo mundo que partilhamos, atuando em setores estruturantes para a sociedade e de reconhecida importância em todas as geografias em que está presente, promovendo a mudança e impactando positivamente milhões de pessoas.<br /><br />Em Portugal, estamos nos polos da Arroteia (sede), Maia e Oeiras, tendo ainda uma pegada global com presença em 13 países e vendas em mais de 86 países.</p><p> </p><p><strong>O que procuramos:</strong><br /><br />Estamos à procura de um Engenheiro Arquiteto de Sistemas para assumir a responsabilidade técnica em projetos de sistemas SCADA DMS/EMS/OMS/ADMS/REMS e Smart Grid, para reforçar a nossa equipa de Após-Venda, localizada no Polo da Maia.</p><p> </p><p><strong>Missão</strong></p><ul><li>Assumir a responsabilidade técnica nos projetos, acompanhando os mesmos desde a fase inicial (passagem do projecto da área comercial) até à sua conclusão (comissionamento, reunião de lessons learned e passagem para pós venda);</li><li>Validar e/ou conceber o desenho arquitetural e funcional das soluções para cada projeto/cliente, sendo esta uma tarefa partilhada com a equipa de Engenharia de Sistemas, quando participante no projeto;</li><li>Estar permanentemente alinhado com a equipa de Gestão de Projeto e tecnologia, nomeadamente na definição dos milestones dos projetos;</li><li>Gerir do ponto de vista técnico os subprojetos dentro projetos cliente (para projetos com vertente GM);</li><li>Garantir a qualidade, custo, âmbito e cumprimento de prazos (em alinhamento com a equipa de Gestão de Projeto);</li><li>Assumir a liderança técnica das equipas no contexto dos projetos;</li><li>Promover a comunicação efectiva e eficiente intra e extra equipas;</li><li>Garantir o alinhamento com GPC e clientes para todas as questões de caráter técnico e tecnológico;</li><li>Acompanhar e controlar os sub-contractados nas vertentes da qualidade do trabalho entregue;</li><li>Adotar e promover eficiência no trabalho efectuado.<br /><br /> </li></ul><p><strong>Perfil:</strong></p><ul><li>Fomação Superior em Engenharia Eletrotécnica e de Computadores - Ramo Energia ou Automação/Engenharia Informática;</li><li>Bons conhecimentos de:<br />-Scada Systems;<br />-Network and Routing;<br />-Communication Protocols (IEC104, IEC101, DNP, ICCP...);<br />-Oracle Databases;<br />-Microsoft Office;<br />-Operating Systems Windows, Linux and ESXI/VMWare;<br />-Java Script;</li><li>Capacidade de acompanhamento de vários projetos em simultâneo;</li><li>Proficiência em línguas inglês;</li><li>Boa capacidade de comunicação;</li><li>Motivação e vontade de aprender;</li><li>Gosto pela resolução de problemas;</li><li>Espírito de inovação e criatividade.</li></ul><p> </p><p><strong>O que oferecemos:</strong></p><ul><li>Possibilidade de integrar um grupo empresarial de referência com forte presença internacional;</li><li>Possibilidade de aprendizagem e capacitação num regime de “learning by doing”;</li><li>Acesso a formação através da nossa Mast3r Academia (Academia de formação interna) e de instituições de ensino;</li><li>Acesso permanente aos nossos serviços médicos e de enfermagem;</li><li>Acesso a protocolos e parcerias estratégicas.</li></ul><p> </p><p>Para candidaturas, por favor, enviar e-mail para o seguinte endereço: <strong><a href=""mailto:recrutamento@efacec.com"">recrutamento@efacec.com</a></strong></p>",,,Full-time,Porto,2025-03-07 13:29:39,2025-03-07 13:29:39,engenheiro-arquiteto-de-sistemas
497425,2702,Growin - Know to grow,https://static.itjobs.pt/images/companies/2e/7ce/2702/logo.png,"Avenida da República N.º 57 4.º Piso, 1050-189 Lisboa",215 947 950,hello@growin.com,https://www.growin.com/,SAP Consultant,"<p><strong>WE DEVELOP PEOPLE WHO DEVELOP TECHNOLOGY             </strong></p><p>And we want to develop you!                          </p><p>At Growin people always come first.                    </p><p>Why? Because we believe happy, talented people are the ones who can change the world: one code line at a time.                         </p><p>We have several projects waiting for you all over Portugal - both hybrid and full remote - where you can grow professionally and take your career to the next level. </p><p>         </p><p>Are you a savvy <strong>SAP Consultant </strong>seeking a new challenge in a dynamic team? We want to know more about you!          </p><p><strong>Tell us about your:</strong></p><ul><li>know how in SAP ABAP</li><li>ability to work with functional Modules such as FI, CO, MM, SD, PM, QM, Hybris   </li><li>experience in SAP HANA it's a plus!</li><li>principles of program documentation and techniques of systems analysis, design, and testing</li><li>principles of report, screen and form design</li><li>ability to communicate in English</li></ul><p style=""margin-left:43.8pt;""> </p><p><strong>We’ve got your back  </strong></p><p>At Growin, we encourage our people to be the best versions of themselves. And we do it together, because we believe <strong>Together We Grow Better.</strong></p><p>   </p><p><strong>What's in it for you? </strong></p><ul><li>a tailor-made career management plan</li><li>opportunity to learn and grow professionally</li><li>work-life balance</li><li>a phenomenal and supportive team</li></ul><p>… and so much more!</p><p><br /><strong>What are you waiting for to join</strong> <strong>us?</strong> </p><p>Apply <a href=""https://www.growin.com/job-apply/a3d2d6dbf6/sap-consultant/"">here</a>!</p>",,,Full-time,"Aveiro, Braga, Lisboa, Porto",2025-03-07 13:29:24,2025-03-07 13:29:24,sap-consultant
497402,6731,YellowIpe,https://static.itjobs.pt/images/companies/0e/915/6731/logo.png,,,,https://yellowipe.io,.NET Developer,"<p><strong>About The YellowIpe</strong></p><p>Our mission is to inspire the connection between technology and people, we foster the best of our professionals through our expertise in finding and attracting the best talent for the best projects. The Focus on People, Collaboration and Commitment are the pillars that guide us in this trajectory.</p><p><strong>Join the yellow team as our new .NET Developer!</strong></p><p><strong>Responsibilities:</strong></p><ul><li>Develop and maintain RESTful APIs and backend services using .NET Core and .NET Framework.</li><li>Implement scalable and secure solutions on Azure, optimizing performance and cost.</li><li>Work with CI/CD pipelines to ensure continuous delivery and automation of development processes.</li><li>Model and optimize the SQL Server database to ensure data efficiency and integrity.</li><li>Actively collaborate with the development and business teams to ensure alignment with functional and technical requirements.</li><li>Participate in code reviews and promote good development practices.</li><li>Monitor and diagnose issues, ensuring application stability.</li></ul><p><strong>Required Competences:</strong></p><ul><li>Minimum of 3 years of experience in backend development with .NET Core and .NET Framework.</li><li>Solid experience with Azure and cloud services, including Azure Functions, App Services, Azure SQL, among others.</li><li>Advanced knowledge of SQL Server and data modeling.</li><li>Experience in building and consuming RESTful APIs.</li><li>Familiarity with CI/CD, Git, and Azure DevOps.</li><li>Experience in agile environments (Scrum/Kanban).</li><li>Good communication and teamwork skills.</li></ul><p><strong>Location requirements:</strong></p><ul><li>Hybrid work model: 2 days per week in the office (negotiable) in Lisbon.</li><li>Candidates must reside in Portugal.</li></ul><p><strong>Apply for this opportunity in our <a href=""https://www.yellowipe.io/pt/jobs/1090035112?utm_source=itjobs"">website</a>! =)</strong></p>",.NET Developer,,,Lisboa,2025-03-07 13:29:18,2025-03-07 13:29:18,net-developer
